going	noun	79
thing	noun	138
nothing	noun	147
being	noun	217
three	noun	231
getting	noun	247
trying	adjective	265
used	adjective	292
days	noun	314
bring	verb	319
saying	noun	332
five	noun	397
four	noun	429
tried	adjective	514
running	noun	565
hour	noun	575
small	noun	577
perfect	verb	578
perhaps	adverb	586
sick	verb	589
touch	verb	600
sound	verb	601
asking	noun	606
human	noun	611
drive	verb	612
dance	verb	632
sense	verb	638
write	verb	645
million	noun	646
rather	adverb	649
less	adjective	662
pull	verb	663
seeing	noun	672
song	noun	679
learn	verb	691
step	verb	692
piece	verb	697
throw	verb	699
quick	noun	712
none	noun	718
pass	verb	741
worse	noun	747
seven	noun	788
christmas	noun	793
using	noun	826
york	noun	836
sitting	noun	854
crying	noun	892
eight	noun	895
dying	noun	1060
eating	noun	1069
lots	noun	1113
nine	noun	1207
bigger	adjective	1225
ways	noun	1240
acting	noun	1303
teeth	noun	1553
letting	noun	1617
ended	adjective	1629
mister	noun	1678
eggs	noun	1877
buying	noun	1939
lower	verb	1966
laid	adjective	2249
tied	adjective	2276
winning	noun	2330
hitting	noun	2622
cutting	noun	2711
latest	noun	2753
mixed	adjective	2769
beaten	adjective	3066
ending	noun	3110
acts	noun	3631
studied	adjective	3668
coke	verb	3730
arts	noun	3808
tons	noun	4082
owned	adjective	4159
eats	noun	4199
larger	adjective	4430
closest	adverb	4473
halloween	noun	4489
laying	noun	4614
cows	noun	4711
chang	noun	5449
aids	noun	5894
ming	noun	5997
rico	noun	6206
jeep	noun	6416
tops	adjective	6449
shan	noun	6566
ling	noun	6630
baba	noun	6878
gemma	noun	7074
popping	noun	7109
senor	noun	7751
tipped	adjective	8234
tang	noun	8236
yuan	noun	8608
islam	noun	8641
makin	noun	8691
takin	noun	8955
asap	adverb	9104
colt	noun	9198
telly	noun	9280
rigged	adjective	9360
atlantis	noun	9366
beta	noun	9689
christianity	noun	9742
mediterranean	noun	9892
risen	adjective	10329
wits	noun	10643
coco	noun	10732
fitted	adjective	11217
goldfish	noun	11274
capitol	noun	11275
slater	noun	11293
nineteen	noun	11511
elves	noun	11564
hindi	noun	11634
wedded	adjective	11753
batting	noun	12300
nile	noun	12469
peeing	noun	12514
qing	noun	12631
everest	noun	12875
strung	adjective	12958
columbo	noun	13037
zhou	noun	13441
antarctica	noun	13964
auschwitz	noun	14085
alps	noun	14101
tagged	adjective	14424
rowan	noun	14892
ness	noun	14925
lakh	noun	14947
thames	noun	15617
ukrainian	noun	15629
finnish	noun	15980
valium	noun	16208
shang	noun	16319
medici	noun	16365
sewn	adjective	16418
underwood	noun	16916
niagara	noun	16985
ridley	noun	17146
olympus	noun	17210
sewed	adjective	17216
cantonese	noun	17292
pika	noun	17293
asgard	noun	17433
airs	noun	17446
topped	adjective	17726
chou	noun	18089
koran	noun	18118
petting	noun	18471
scientology	noun	18485
hani	noun	18574
nandu	noun	18705
mossad	noun	18893
senora	noun	18946
yellowstone	noun	19005
buddhism	noun	19105
kremlin	noun	19251
fitch	noun	19387
springer	noun	19425
guan	noun	19502
senorita	noun	19636
ptsd	noun	20033
dink	noun	20036
botox	noun	20108
alamo	noun	20283
falco	noun	20573
kraft	noun	20606
corvette	noun	20698
qaeda	noun	20849
corp	noun	20890
valhalla	noun	20903
andes	noun	21028
klan	noun	21190
mortified	adjective	21250
blanc	noun	21262
atticus	noun	21555
argentine	noun	21626
xanax	noun	21720
yiddish	noun	21731
topping	noun	21814
dotted	adjective	21847
danube	noun	21978
maja	noun	21988
yosemite	noun	22001
excalibur	noun	22044
baldrick	noun	22149
torah	noun	22295
stetson	noun	22419
pinot	noun	22422
ebola	noun	22605
kwai	noun	22653
luftwaffe	noun	22675
bollywood	noun	22737
kleenex	noun	22915
agha	noun	22978
ouija	noun	23007
goldilocks	noun	23025
corona	noun	23476
eyre	noun	23590
hanukkah	noun	23720
judaism	noun	24066
belmont	noun	24380
musa	noun	24409
europa	noun	24442
viii	noun	24444
watergate	noun	24477
passover	noun	24698
polaroid	noun	24894
sanskrit	noun	25067
tuppence	noun	25102
dobson	noun	25235
icelandic	noun	25297
xiii	noun	25450
napa	noun	25546
sultana	noun	25569
bosnian	adjective	25684
velcro	verb	25687
tyrannosaurus	noun	25782
sapiens	adjective	25796
afro	noun	25851
angelus	noun	25954
doings	noun	26023
cannae	noun	26042
riffraff	noun	26086
gimp	verb	26132
undisturbed	adjective	26168
pinning	noun	26259
scorpius	noun	26268
swahili	noun	26550
porterhouse	noun	26600
pullman	noun	26631
blackburn	noun	26727
madder	verb	26742
pelham	noun	26828
everglades	noun	26830
dahl	noun	26878
