cartoon	noun	ကာတွန်း
glorious	adjective	ဂုဏ်ကျက်သရေရှိသော|ခမ်းနားသော
micro	adjective	အလွန်အသေးစား
toll	noun	ဖြတ်သန်းခ|ဆုံးရှုံးမှုအရေအတွက်
trainer	noun	လေ့ကျင့်ပေးသူ|သင်တန်းဆရာ
unbelievable	adjective	မယုံနိုင်စရာကောင်းသော
underneath	adverb	အောက်မှာ|အောက်ဘက်၌
nationwide	adjective	နိုင်ငံတစ်ဝန်းလုံးဆိုင်ရာ
nest	noun	အသိုက်
optical	adjective	မျက်စိမြင်ခြင်းဆိုင်ရာ|အလင်းဆိုင်ရာ
supporter	noun	ထောက်ခံသူ|ပရိသတ်
adorable	adjective	ချစ်စရာအလွန်ကောင်းသော
compact	adjective	ကျစ်လစ်သေးငယ်သော
demo	noun	သရုပ်ပြမှု|စမ်းသပ်ပြသမှု
halfway	adverb	လမ်းတစ်ဝက်မှာ|တစ်ဝက်တစ်ပျက်
sierra	noun	တောင်တန်း
unhappy	adjective	မပျော်ရွှင်သော|စိတ်မချမ်းသာသော
bout	noun	ပြိုင်ပွဲတစ်ပွဲ|ခဏတာဖြစ်ပွားမှု
comeback	noun	ပြန်လည်အောင်မြင်မှု|ပြန်တုံ့ပြန်စကား
majesty	noun	ဘုန်းတန်ခိုး|ခမ်းနားမှု
penis	noun	လိင်တံ
shooter	noun	သေနတ်သမား|ပစ်ခတ်သူ
someday	adverb	တစ်နေ့နေ့မှာ
static	noun	လျှပ်စစ်နှောင့်ယှက်သံ
airline	noun	လေကြောင်းလိုင်း
anyways	adverb	ဘာပဲဖြစ်ဖြစ်|ဒါနဲ့ပဲ
backwards	adverb	နောက်ပြန်|ပြောင်းပြန်
harper	noun	စောင်းတီးသူ
meantime	noun	ကြားကာလ|အဲဒီအချိန်အတွင်း
recreation	noun	အပန်းဖြေမှု
shitty	adjective	အရမ်းညံ့သော|စိတ်ပျက်စရာကောင်းသော
buyer	noun	ဝယ်သူ
cannabis	noun	ဆေးခြောက်ပင်|ဆေးခြောက်
navigation	noun	လမ်းညွှန်မှု|လမ်းကြောင်းရှာဖွေမှု
sentiment	noun	ခံစားချက်|သဘောထား
fisher	noun	တံငါသည်
liar	noun	လိမ်ညာသူ
pending	adjective	စောင့်ဆိုင်းနေသော|မပြီးသေးသော
subscribe	verb	စာရင်းသွင်းသည်|ကြေးပေးသွင်းသည်
utterly	adverb	လုံးဝ|အပြည့်အဝ
disk	noun	အပြားဝိုင်း|ဒစ်
insert	verb	ထည့်သွင်းသည်
massage	noun	နှိပ်နယ်မှု|အနှိပ်
seller	noun	ရောင်းသူ
stark	adjective	ပြတ်သားလွန်းသော|ရိုးရှင်းဗလာကျင်းသော
upside	noun	ကောင်းကျိုးဘက်|အပေါ်ဘက်
void	noun	လွတ်နေရာ|အချည်းနှီး
whip	noun	ကြာပွတ်
wipe	verb	သုတ်သည်|ဖျက်ပစ်သည်
jerk	noun	စိတ်အနှောင့်အယှက်ပေးသူ|မိုက်မဲသူ
