fort	noun	4.45	a fortified military post where troops are stationed
math	noun	4.45	a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
photography	noun	4.45	the act of taking and printing photographs
scheduled	verb	4.45	plan for an activity or event
spoken	verb	4.45	express in speech
woods	noun	4.45	the trees and other plants in a large densely wooded area
featured	verb	4.44	have as a feature
legend	noun	4.44	a story about mythical or supernatural beings or events
mini	noun	4.44	a very short skirt
picking	noun	4.44	the quantity of a crop that is harvested
pushing	noun	4.44	the act of applying force in order to move something away
rank	noun	4.44	a row or line of people (especially soldiers or police) standing abreast of one another
singles	noun	4.44	badminton played with one person on each side
visiting	noun	4.44	the activity of making visits
wings	noun	4.44	a means of flight or ascent
beating	noun	4.43	the act of overcoming or outdoing
grounds	noun	4.43	your basis for belief or disbelief; knowledge on which to base belief
gym	noun	4.43	athletic facility equipped for sports or physical training
helpful	adjective	4.43	providing assistance or serving a useful function
naked	adjective	4.43	completely unclothed
rear	noun	4.43	the back of a military formation or procession
afterwards	adverb	4.42	happening at a time subsequent to a reference time
alright	adjective	4.42	nonstandard usage
belt	noun	4.42	endless loop of flexible material between two rotating shafts or pulleys
comic	noun	4.42	a professional performer who tells jokes and performs comical acts
dressed	verb	4.42	put on clothes
entering	noun	4.42	a movement into or inward
lab	noun	4.42	a workplace for the conduct of scientific research
newly	adverb	4.42	very recently
racist	noun	4.42	a person with a prejudiced belief that one race is superior to others
sexy	adjective	4.42	marked by or tending to arouse sexual desire or interest
studying	noun	4.42	reading carefully with intent to remember
suck	noun	4.42	the act of sucking
aspect	noun	4.41	a distinct feature or element in a problem
lowest	adjective	4.41	lowest in rank or importance
mum	noun	4.41	of China
forgotten	verb	4.40	dismiss from the mind; stop remembering
hop	noun	4.40	the act of hopping; jumping upward or forward (especially on one foot)
sheet	noun	4.40	any broad thin expanse or surface
signing	noun	4.40	language expressed by visible hand gestures
stops	noun	4.40	a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card
string	noun	4.40	a lightweight cord
thrown	verb	4.40	propel through the air
bye	noun	4.39	you advance to the next round in a tournament without playing an opponent
figured	verb	4.39	judge to be probable
posting	noun	4.39	a sign posted in a public place as an advertisement
forum	noun	4.38	a public meeting or assembly for open discussion
shaped	verb	4.38	shape or influence; give direction to
reverse	noun	4.37	a relation of direct opposition
seed	noun	4.37	a small hard fruit
