join	noun	5.00	the shape or manner in which things come together and a connection is made
kept	verb	5.00	keep in a certain state, position, or activity; e.g.,
leading	noun	5.00	thin strip of metal used to separate lines of type in printing
loved	verb	5.00	have a great affection or liking for
quickly	adverb	5.00	with rapid movements
section	noun	5.00	a self-contained part of a larger composition (written or musical)
sort	noun	5.00	a category of things distinguished by some common characteristic or quality
travel	noun	5.00	the act of going from one place to another
drop	noun	4.99	a shape that is spherical and small
sale	noun	4.99	a particular instance of selling
throughout	adverb	4.99	from first to last
welcome	noun	4.99	the state of being welcome
beyond	adverb	4.98	farther along in space or time or degree
earlier	adjective	4.98	(comparative and superlative of `early') more early than; most early
extra	noun	4.98	a minor actor in crowd scenes
leaving	noun	4.98	the act of departing
minute	noun	4.98	a unit of time equal to 60 seconds or 1/60th of an hour
quick	noun	4.98	any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)
sell	noun	4.98	the activity of persuading someone to buy
winning	noun	4.98	succeeding with great difficulty
agree	verb	4.97	be in accord; be in agreement
favorite	noun	4.97	something regarded with special favor or liking
posted	verb	4.97	affix in a public place or for public notice
sold	verb	4.97	exchange or deliver for money or its equivalent
spend	verb	4.97	pass time in a specific way
asking	noun	4.96	the verbal act of requesting
heavy	noun	4.96	an actor who plays villainous roles
wide	adjective	4.96	having great (or a certain) extent from one side to the other
wow	noun	4.96	a joke that seems extremely funny
dad	noun	4.95	an informal term for a father; probably derived from baby talk
fit	noun	4.95	a display of bad temper
interested	verb	4.95	excite the curiosity of; engage the interest of
plus	noun	4.95	a useful or valuable quality
unit	noun	4.95	any division of quantity accepted as a standard of measurement or exchange
finished	verb	4.94	come or bring to a finish or an end
growing	noun	4.94	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
opening	noun	4.94	an open or empty space in or between things
pro	noun	4.94	an athlete who plays for pay
reach	noun	4.94	the limits within which something can be effective
dance	noun	4.93	an artistic form of nonverbal communication
none	noun	4.93	a canonical hour that is the ninth hour of the day counting from sunrise
trump	noun	4.93	a playing card in the suit that has been declared trumps
worst	noun	4.93	the least favorable outcome
awesome	adjective	4.92	inspiring awe or admiration or wonder; ; ; ; - Melville
band	noun	4.92	an unofficial association of people or groups
ended	verb	4.92	have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
latest	noun	4.92	the most recent news or development
learning	noun	4.92	the cognitive process of acquiring skill or knowledge
multiple	noun	4.92	the product of a quantity by an integer
spring	noun	4.92	the season of growth
