simple	noun	5.08	any herbaceous plant having medicinal properties
super	noun	5.08	a caretaker for an apartment house; represents the owner as janitor and rent collector
walk	noun	5.08	the act of traveling by foot
built	verb	5.07	make by combining materials and parts
daily	noun	5.07	a newspaper that is published every day
daughter	noun	5.07	a female human offspring
die	noun	5.07	a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
figure	noun	5.07	a diagram or picture illustrating textual material
parts	noun	5.07	the local environment
starting	noun	5.07	a turn to be a starter (in a game at the beginning)
writing	noun	5.07	the act of creating written works
forget	verb	5.06	dismiss from the mind; stop remembering
huge	adjective	5.06	unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
listen	verb	5.06	hear with intention
okay	noun	5.06	an endorsement
waiting	noun	5.06	the act of waiting (remaining inactive in one place while expecting something)
ways	noun	5.06	structure consisting of a sloping way down to the water from the place where ships are built or repaired
deep	noun	5.05	the central and most intense or profound part
pass	noun	5.05	(baseball) an advance to first base by a batter who receives four balls
sleep	noun	5.05	a natural and periodic state of rest during which consciousness of the world is suspended
ten	noun	5.05	the cardinal number that is the sum of nine and one; the base of the decimal system
build	noun	5.04	constitution of the human body
mine	noun	5.04	excavation in the earth from which ores and minerals are extracted
note	noun	5.04	a brief written record
percent	noun	5.04	a proportion in relation to a whole (which is usually the amount per hundred)
piece	noun	5.04	a separate part of a whole
seeing	noun	5.04	perception by means of the eyes
straight	noun	5.04	a heterosexual person; someone having a sexual orientation to persons of the opposite sex
visit	noun	5.04	the act of going to see some person or place or thing for a short time
speak	verb	5.03	express in speech
tonight	noun	5.03	the present or immediately coming night
write	verb	5.03	produce a literary work
album	noun	5.02	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
century	noun	5.02	a period of 100 years
except	verb	5.02	take exception to
funny	noun	5.02	an account of an amusing incident (usually with a punch line)
sales	noun	5.02	income (at invoice values) received for goods and services over some given period of time
spent	verb	5.02	pass time in a specific way
store	noun	5.02	a mercantile establishment for the retail sale of goods or services
tomorrow	noun	5.02	the day after today
allow	verb	5.01	make it possible through a specific action or lack of action for something to happen
anti	noun	5.01	a person who is opposed (to an action or policy or practice etc.)
beat	noun	5.01	a regular route for a sentry or policeman
double	noun	5.01	a base hit on which the batter stops safely at second base
ass	noun	5.00	the fleshy part of the human body that you sit on
beginning	noun	5.00	the event consisting of the start of something
despite	noun	5.00	lack of respect accompanied by a feeling of intense dislike
female	noun	5.00	an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
husband	noun	5.00	a married man; a woman's partner in marriage
interesting	verb	5.00	excite the curiosity of; engage the interest of
