optical	adjective	4.07	of or relating to or involving light or optics
supporter	noun	4.07	a person who backs a politician or a team etc.
toe	noun	4.07	one of the digits of the foot
adorable	adjective	4.06	lovable especially in a childlike or naive way
compact	noun	4.06	a small cosmetics case with a mirror; to be carried in a woman's purse
demo	noun	4.06	a visual presentation showing how something works
halfway	adjective	4.06	equally distant from the extremes
sierra	noun	4.06	a range of mountains (usually with jagged peaks and irregular outline)
unhappy	adjective	4.06	experiencing or marked by or causing sadness or sorrow or discontent
bout	noun	4.05	(sports) a division during which one team is on the offensive
comeback	noun	4.05	a quick reply to a question or remark (especially a witty or critical one)
cos	noun	4.05	ratio of the adjacent side to the hypotenuse of a right-angled triangle
dip	noun	4.05	a depression in an otherwise level surface
majesty	noun	4.05	impressiveness in scale or proportion
penis	noun	4.05	the male organ of copulation (`member' is a euphemism)
shooter	noun	4.05	a large marble used for shooting in the game of marbles
someday	adverb	4.05	some unspecified time in the future
static	noun	4.05	a crackling or hissing noise caused by electrical interference
airline	noun	4.04	a hose that carries air under pressure
anyways	adverb	4.04	used to indicate that a statement explains or supports a previous statement
backwards	adverb	4.04	at or to or toward the back or rear
cum	noun	4.04	the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
harper	noun	4.04	someone who plays the harp
meantime	noun	4.04	the time between one event, process, or period and another
recreation	noun	4.04	an activity that diverts or amuses or stimulates
shitty	adjective	4.04	very bad
buyer	noun	4.03	a person who buys
cannabis	noun	4.03	any plant of the genus Cannabis; a coarse bushy annual with palmate leaves and clusters of small green flowers; yields tough fibers and narcotic drugs
fur	noun	4.03	the dressed hairy coat of a mammal
mph	noun	4.03	the ratio of the distance traveled (in miles) to the time spent traveling (in hours)
navigation	noun	4.03	the guidance of ships or airplanes from place to place
sentiment	noun	4.03	tender, romantic, or nostalgic feeling or emotion
ego	noun	4.02	an inflated feeling of pride in your superiority to others
fisher	noun	4.02	someone whose occupation is catching fish
liar	noun	4.02	a person who has lied or who lies repeatedly
pending	adjective	4.02	awaiting conclusion or confirmation
subscribe	verb	4.02	offer to buy, as of stocks and shares
utterly	adverb	4.02	completely and without qualification; used informally as intensifiers
den	noun	4.01	the habitation of wild animals
disk	noun	4.01	something with a round shape resembling a flat circular plate
insert	noun	4.01	a folded section placed between the leaves of another publication
massage	noun	4.01	kneading and rubbing parts of the body to increase circulation and promote relaxation
pad	noun	4.01	a number of sheets of paper fastened together along one edge
seller	noun	4.01	someone who promotes or exchanges goods or services for money
sen	noun	4.01	a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel
stark	adjective	4.01	devoid of any qualifications or disguise or adornment
upside	noun	4.01	the highest or uppermost side of anything
void	noun	4.01	the state of nonexistence
whip	noun	4.01	an instrument with a handle and a flexible lash that is used for whipping
wipe	noun	4.01	the act of rubbing or wiping
