grand	noun	4.91	the cardinal number that is the product of 10 and 100
thus	noun	4.91	an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation
touch	noun	4.91	the event of something coming in contact with the body
yesterday	noun	4.91	the day immediately before today
drink	noun	4.90	a single serving of a beverage
greater	adjective	4.90	greater in size or importance or degree
grow	verb	4.90	pass into a condition gradually, take on a specific property or attribute; become
sit	verb	4.90	be seated
fully	adverb	4.89	to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
highly	adverb	4.89	to a high degree or extent; favorably or with much respect
spot	noun	4.89	a point located with respect to surface features of some region
winter	noun	4.89	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
worse	noun	4.89	something inferior in quality or condition or effect
award	noun	4.88	a grant made by a law court
holy	noun	4.88	a sacred place of pilgrimage
sick	noun	4.88	people who are sick
catch	noun	4.87	a drawback or difficulty that is not readily evident
pop	noun	4.87	an informal term for a father; probably derived from baby talk
therefore	adverb	4.87	(used to introduce a logical conclusion) from that fact or reason or as a result
weather	noun	4.87	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
heat	noun	4.86	a form of energy that is transferred by a difference in temperature
fat	noun	4.85	a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
prior	noun	4.85	the head of a religious order; in an abbey the prior is next below the abbot
ride	noun	4.85	a journey in a vehicle (usually an automobile)
serve	noun	4.85	(sports) a stroke that puts the ball in play
wonderful	adjective	4.85	extraordinarily good or great ; used especially as intensifiers
bottom	noun	4.84	the lower side of anything
famous	adjective	4.84	widely known and esteemed
square	noun	4.84	(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
twice	adverb	4.84	two times
wind	noun	4.84	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
cent	noun	4.83	a fractional monetary unit of several countries
count	noun	4.83	the total number counted
fourth	noun	4.83	following the third position; number four in a countable series
fresh	adjective	4.83	recently made, produced, or harvested
scale	noun	4.83	an ordered reference standard
smart	noun	4.83	a kind of pain such as that caused by a wound or a burn or a sore
surface	noun	4.83	the outer boundary of an artifact or a material layer constituting or resembling such a boundary
throw	noun	4.83	the act of throwing (propelling something with a rapid movement of the arm and wrist)
click	noun	4.82	a short light metallic sound
fashion	noun	4.82	how something is done or how it happens
larger	adjective	4.82	large or big relative to something else
metal	noun	4.82	any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
mid	adjective	4.82	used in combination to denote the middle
pull	noun	4.82	the act of pulling; applying force to move something toward or with you
push	noun	4.82	the act of applying force in order to move something away
seat	noun	4.82	a space reserved for sitting (as in a theater or on a train or airplane)
animal	noun	4.81	a living organism characterized by voluntary movement
enter	verb	4.81	to come or go into
gain	noun	4.81	a quantity that is added
