hopefully	adverb	မျှော်လင့်ရသည်မှာ|မျှော်လင့်ချက်ဖြင့်
brilliant	adjective	ထူးချွန်သော|တောက်ပသော
omega	noun	နောက်ဆုံးအဆင့်|အိုမီဂါအက္ခရာ
thereof	adverb	ထိုအရာ၏|၎င်းနှင့်ဆိုင်သော
cole	noun	ရွက်ဖျင်ဂေါ်ဖီမျိုး
mart	noun	ဈေး|အရောင်းဈေးကွက်
tale	noun	ပုံပြင်|ဇာတ်လမ်း
arch	noun	ခုံး|မုခ်ခုံး
monkey	noun	မျောက်
filename	noun	ဖိုင်အမည်
skirt	noun	စကတ်
sixth	noun	ဆဋ္ဌမ|ခြောက်ခုမြောက်
sandy	adjective	သဲများသော|သဲဆန်သော
macro	noun	အမိန့်များကို တစ်ခါတည်းလုပ်စေသော မက်ခရို
sender	noun	ပေးပို့သူ
syndication	noun	ပူးပေါင်းဖြန့်ချိမှု|စုဖွဲ့စီမံမှု
piss	noun	ဆီး
butter	noun	ထောပတ်
comp	noun	အခမဲ့ပေးသည့်အရာ|အထူးစာမေးပွဲ
spec	noun	သတ်မှတ်ချက်အသေးစိတ်
chuck	verb	ပစ်သည်|လွှင့်ပစ်သည်
dale	noun	တောင်ကြား
boob	noun	လူမိုက်|ရင်သား
bingo	interjection	ဟုတ်ပြီ|ဘင်ဂို
annually	adverb	နှစ်စဉ်
sunny	adjective	နေသာသော|ရွှင်လန်းသော
slut	noun	မိန်းမကို စော်ကားခေါ်သောစကား
ejaculation	noun	သုတ်လွှတ်ခြင်း|ရုတ်တရက် အော်ဟစ်စကား
victor	noun	အနိုင်ရသူ|အောင်နိုင်သူ
glen	noun	တောင်ကြားငယ်
lambda	noun	လမ်ဘဒါအက္ခရာ
lover	noun	ချစ်သူ|ရည်းစား
daddy	noun	အဖေ|ဖေဖေ
rabbit	noun	ယုန်
josh	verb	နောက်ပြောင်သည်|စနောက်သည်
sunshine	noun	နေရောင်|နေရောင်ခြည်
nail	noun	လက်သည်း|သံချောင်း
sheep	noun	သိုး
salad	noun	အသုပ်
foam	noun	အမြှုပ်
vibrator	noun	တုန်ခါစက်
bean	noun	ပဲစေ့|ပဲ
float	verb	မျောသည်|ပေါ်နေသည်
bubble	noun	ပူဖောင်း|အမြှုပ်ဖောင်း
decorative	adjective	အလှဆင်ရန်ဖြစ်သော
nevertheless	adverb	သို့သော်လည်း|ဒါပေမယ့်လည်း
